-900,0,1,0.0002,0.011,0.104302,0.12,0.470744
-800,0,1,0.0002,0.014,0.125714,0.066,0.285734
-700,0,1,0.0002,0.01,0.109087,0.056,0.273613
-600,0,1,0.0002,0.009,0.0944405,0.046,0.236398
-500,0,1,0.0002,0.02,0.146969,0.04,0.22891
-400,0,1,0.0002,0.016,0.125475,0.037,0.20888
-300,0,1,0.0002,0.01,0.0994987,0.02,0.14
-200,0,1,0.0002,0.018,0.140271,0.017,0.136788
-100,0,1,0.0002,0.019,0.143663,0.025,0.168449
0,0,1,0.0002,0.022,0.153349,0.016,0.125475
100,0,1,0.0002,0.027,0.179641,0.019,0.136525
200,0,1,0.0002,0.027,0.173986,0.018,0.140271
300,0,1,0.0002,0.037,0.188762,0.02,0.146969
400,0,1,0.0002,0.042,0.205514,0.019,0.136525
500,0,1,0.0002,0.035,0.18378,0.016,0.140513
600,0,1,0.0002,0.05,0.226936,0.015,0.129518
700,0,1,0.0002,0.049,0.297656,0.008,0.0890842
800,0,1,0.0002,0.055,0.252933,0.012,0.108885
900,0,1,0.0002,0.117,0.413897,0.012,0.108885
-900,0,1,0.0005,0.039,0.217897,0.353,0.938292
-800,0,1,0.0005,0.033,0.218886,0.162,0.57075
-700,0,1,0.0005,0.05,0.251992,0.147,0.489276
-600,0,1,0.0005,0.041,0.222079,0.13,0.434856
-500,0,1,0.0005,0.046,0.236398,0.108,0.392856
-400,0,1,0.0005,0.059,0.281991,0.117,0.425806
-300,0,1,0.0005,0.063,0.284659,0.087,0.34847
-200,0,1,0.0005,0.044,0.214625,0.083,0.349444
-100,0,1,0.0005,0.078,0.306457,0.096,0.400979
0,0,1,0.0005,0.071,0.289757,0.056,0.280827
100,0,1,0.0005,0.072,0.301357,0.079,0.307829
200,0,1,0.0005,0.081,0.341232,0.057,0.26029
300,0,1,0.0005,0.095,0.384675,0.047,0.242469
400,0,1,0.0005,0.095,0.374132,0.051,0.261532
500,0,1,0.0005,0.113,0.449701,0.041,0.239414
600,0,1,0.0005,0.126,0.449582,0.038,0.206291
700,0,1,0.0005,0.118,0.438265,0.03,0.18735
800,0,1,0.0005,0.153,0.5741,0.038,0.211083
900,0,1,0.0005,0.324,0.950276,0.046,0.236398
-900,0,1,0.001,0.071,0.316163,0.657,1.8026
-800,0,1,0.001,0.062,0.290097,0.324,0.958657
-700,0,1,0.001,0.072,0.294646,0.291,0.906818
-600,0,1,0.001,0.089,0.378258,0.266,0.836208
-500,0,1,0.001,0.092,0.386699,0.227,0.774255
-400,0,1,0.001,0.099,0.388843,0.186,0.611068
-300,0,1,0.001,0.103,0.407911,0.193,0.664644
-200,0,1,0.001,0.094,0.367647,0.168,0.565487
-100,0,1,0.001,0.147,0.499391,0.162,0.577716
0,0,1,0.001,0.126,0.454009,0.113,0.438442
100,0,1,0.001,0.168,0.589725,0.13,0.441701
200,0,1,0.001,0.131,0.509744,0.087,0.370717
300,0,1,0.001,0.18,0.587878,0.104,0.401477
400,0,1,0.001,0.184,0.623012,0.107,0.414187
500,0,1,0.001,0.222,0.725752,0.11,0.421782
600,0,1,0.001,0.224,0.702726,0.071,0.357714
700,0,1,0.001,0.238,0.843419,0.067,0.30085
800,0,1,0.001,0.318,1.10403,0.072,0.326827
900,0,1,0.001,0.695,1.83357,0.084,0.356292
-900,0,1,0.002,0.115,0.493736,1.047,3.28585
-800,0,1,0.002,0.111,0.458998,0.525,1.69864
-700,0,1,0.002,0.133,0.543425,0.41,1.417
-600,0,1,0.002,0.107,0.481197,0.331,1.21797
-500,0,1,0.002,0.138,0.543099,0.354,1.21024
-400,0,1,0.002,0.14,0.562494,0.268,0.976819
-300,0,1,0.002,0.174,0.650941,0.296,0.99819
-200,0,1,0.002,0.204,0.711607,0.295,1.02273
-100,0,1,0.002,0.202,0.732937,0.261,0.850223
0,0,1,0.002,0.189,0.759789,0.149,0.623537
100,0,1,0.002,0.246,0.850579,0.189,0.715038
200,0,1,0.002,0.269,0.91468,0.202,0.727459
300,0,1,0.002,0.297,1.00935,0.178,0.675512
400,0,1,0.002,0.357,1.20895,0.193,0.685384
500,0,1,0.002,0.313,1.11132,0.144,0.554314
600,0,1,0.002,0.458,1.45542,0.137,0.546105
700,0,1,0.002,0.476,1.54836,0.122,0.484888
800,0,1,0.002,0.599,1.81499,0.126,0.496109
900,0,1,0.002,1.288,3.65035,0.137,0.508164
